target weights as of 2026-09-11,1/N Equal Weight,MVO Max-Sharpe (Sample),MVO Max-Sharpe (Ledoit-Wolf),MVO Max-Sharpe (LW + Shrunk Means),Michaud Resampled (Sample),Black-Litterman (Momentum views),Minimum Variance (Ledoit-Wolf),Risk Parity (Ledoit-Wolf)
AAPL,0.0625,0.0,0.0,0.0009334229226537534,0.02968514206980043,0.11371858505016573,1.0811461056960259e-07,0.04490955046077446
AMZN,0.0625,0.0042167797056737195,0.010165948183061277,0.02420772442498108,0.033853286286585446,0.17843145092335858,0.018097792139314884,0.045266161211771926
CAT,0.0625,0.1723391429313755,0.170158061197391,0.12959982816582355,0.12152080458100892,0.07131469266687132,0.04614010219984875,0.04438006562708949
CVX,0.0625,0.18263186445820953,0.14916013666762964,0.11954426438223784,0.09141946021243165,0.03784086166940456,0.045162158421198174,0.06460514259736767
GS,0.0625,0.08835124380399709,0.0943646517313538,0.044708905921903665,0.05512424888753434,0.05809330551130307,4.24946408166293e-07,0.039646025459267584
HD,0.0625,0.0,0.0,0.0,0.004059120303917156,1.878748862432525e-08,0.019264825480162163,0.055976997451814475
JNJ,0.0625,0.20000000077609598,0.2000000001106356,0.20000000095990783,0.1916401152563053,0.06762160663280216,0.17226268496016764,0.09915533311034477
JPM,0.0625,0.0,2.2345720289943306e-08,0.04113865078760265,0.047942956324268204,0.04146040437764704,0.031849151590304506,0.049494523974120914
KO,0.0625,0.20000000057765893,0.2000000000489078,0.20000000078001332,0.17521211812939755,0.027773764617387696,0.19529246660824076,0.10637602767954706
LIN,0.0625,0.0,0.0,0.0,0.0019125250781589934,1.616657684202322e-07,0.04392174915974984,0.0637082667191095
MSFT,0.0625,0.03361837928182642,0.026078441325218776,0.08422118237828456,0.05142840391462593,0.03628147233894081,0.11619901997455853,0.06630733647676391
NEE,0.0625,0.0,0.0,2.5121952164041794e-06,0.019373776747462795,0.0012640888098365227,0.030598964426065814,0.0648370224305519
NVDA,0.0625,0.08546776772821524,0.08929527900318676,0.06326321361028746,0.07809434674510007,0.19999994054392475,0.04279481451306929,0.04271799987214206
PG,0.0625,0.0,0.0,1.1992069283311897e-08,0.0035194046461286444,3.1948725641038636e-08,0.10947584188309711,0.08428829940437288
UNH,0.0625,0.0,0.0,0.0,0.016801916068163954,0.06915583500357289,0.043598117339559886,0.057678516909172126
XOM,0.0625,0.03337482073694768,0.06077745938689495,0.09238028147901865,0.07841237474911038,0.09704377945280224,0.08534177824364397,0.07065273061578935
